Test Case '-[NyTermsTests.AuxiliaryTests testIntegerIntersection]' started.
 0 of 30:      1,2        7.70092010498047e-05 3.85046005249023e-05      0 0.0
 1 of 30:      2,4        1.10268592834473e-05 2.75671482086182e-06      0 0.0
 2 of 30:      4,8        1.10268592834473e-05 1.37835741043091e-06      0 0.0
 3 of 30:      8,16       1.89542770385742e-05 1.18464231491089e-06      1 0.125
 4 of 30:     16,32       6.90221786499023e-05 2.15694308280945e-06      2 0.125
 5 of 30:     32,64       7.10487365722656e-05 1.11013650894165e-06      4 0.125
 6 of 30:     64,128      0.000138998031616211 1.08592212200165e-06      9 0.140625
 7 of 30:    128,256      0.000281989574432373 1.10152177512646e-06     18 0.140625
 8 of 30:    256,512      0.000558972358703613 1.09174288809299e-06     36 0.140625
 9 of 30:    512,1024     0.00111597776412964  1.08982203528285e-06     73 0.142578125
10 of 30:   1024,2048     0.00222498178482056  1.08641688711941e-06    146 0.142578125
11 of 30:   2048,4096     0.00452297925949097  1.10424298327416e-06    292 0.142578125
12 of 30:   4096,8192     0.0103099942207336   1.25854421639815e-06    585 0.142822265625
13 of 30:   8192,16384    0.0176630020141602   1.07806408777833e-06   1170 0.142822265625
14 of 30:  16384,32768    0.0354700088500977   1.08245876617730e-06   2340 0.142822265625
15 of 30:  32768,65536    0.0720759630203247   1.09979191620369e-06   4681 0.142852783203125
16 of 30:  65536,131072   0.137888014316559    1.05200206235168e-06   9362 0.142852783203125
17 of 30:  131072,262144  0.283545017242432    1.08163840195630e-06  18724 0.142852783203125
18 of 30:  262144,524288  0.60180002450943     1.14784245397459e-06  37449 0.142856597900391
19 of 30:  524288,1048576 1.14820605516434     1.09501462475237e-06  74898 0.142856597900391
20 of 30: 1048576,2097152 2.22383999824524     1.06040954506170e-06 149796 0.142856597900391
21 of 30: 2097152,4194304 4.45232397317886     1.06151675538513e-06 299593 0.142857074737549
